congress,date,democrats_no,democrats_yes,independent_no,independent_yes,month,republican_no,republican_yes,result,total_no,total_not_voting,total_yes,vote_type,vote_uri,year
105,1997-01-30,0,45,0,0,1,2,50,Confirmed,2,3,95,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/4.json,1997
105,1997-01-29,0,44,0,0,1,0,55,Confirmed,0,1,99,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/3.json,1997
105,1997-01-22,0,44,0,0,1,0,55,Confirmed,0,1,99,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/2.json,1997
105,1997-01-22,0,44,0,0,1,0,55,Confirmed,0,1,99,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/1.json,1997
105,1997-02-27,34,11,0,0,2,0,54,Agreed to,34,1,65,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/23.json,1997
105,1997-02-27,40,5,0,0,2,0,55,Agreed to,40,0,60,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/22.json,1997
105,1997-02-27,31,14,0,0,2,0,55,Agreed to,31,0,69,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/21.json,1997
105,1997-02-27,39,6,0,0,2,0,55,Agreed to,39,0,61,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/20.json,1997
105,1997-02-27,39,4,0,0,2,0,55,Agreed to,39,2,59,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/19.json,1997
105,1997-02-26,40,5,0,0,2,0,55,Agreed to,40,0,60,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/18.json,1997
105,1997-02-26,39,6,0,0,2,2,53,Agreed to,41,0,59,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/17.json,1997
105,1997-02-26,8,37,0,0,2,55,0,Rejected,63,0,37,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/16.json,1997
