api_uri,congress,dw_nominate,gender,id,name,party,seniority
https://api.propublica.org/congress/v1/members/A000355.json,105,,M,A000355,Spencer Abraham,R,3
https://api.propublica.org/congress/v1/members/A000069.json,105,,M,A000069,Daniel Akaka,D,7
https://api.propublica.org/congress/v1/members/A000109.json,105,,M,A000109,Wayne Allard,R,1
https://api.propublica.org/congress/v1/members/A000356.json,105,,M,A000356,John Ashcroft,R,3
https://api.propublica.org/congress/v1/members/B000243.json,105,,M,B000243,Max Baucus,D,19
https://api.propublica.org/congress/v1/members/B000382.json,105,,M,B000382,Robert Bennett,R,5
https://api.propublica.org/congress/v1/members/B000444.json,105,,M,B000444,Joseph Biden,D,25
https://api.propublica.org/congress/v1/members/B000468.json,105,,M,B000468,Jeff Bingaman,D,15
https://api.propublica.org/congress/v1/members/B000611.json,105,,M,B000611,Christopher Bond,R,11
https://api.propublica.org/congress/v1/members/B000711.json,105,,F,B000711,Barbara Boxer,D,5
https://api.propublica.org/congress/v1/members/B000780.json,105,,M,B000780,John Breaux,D,11
https://api.propublica.org/congress/v1/members/B000953.json,105,,M,B000953,Sam Brownback,R,3
https://api.propublica.org/congress/v1/members/B000993.json,105,,M,B000993,Richard Bryan,D,9
https://api.propublica.org/congress/v1/members/B001057.json,105,,M,B001057,Dale Bumpers,D,23
https://api.propublica.org/congress/v1/members/B001126.json,105,,M,B001126,Conrad Burns,R,9
https://api.propublica.org/congress/v1/members/B001210.json,105,,M,B001210,Robert Byrd,D,39
https://api.propublica.org/congress/v1/members/C000077.json,105,,M,C000077,Ben Campbell,R,5
https://api.propublica.org/congress/v1/members/C000269.json,105,,M,C000269,John Chafee,R,21
https://api.propublica.org/congress/v1/members/C001034.json,105,,M,C001034,Max Cleland,D,1
https://api.propublica.org/congress/v1/members/C000542.json,105,,M,C000542,Daniel Coats,R,9
https://api.propublica.org/congress/v1/members/C000567.json,105,,M,C000567,Thad Cochran,R,19
https://api.propublica.org/congress/v1/members/C001035.json,105,,F,C001035,Susan Collins,R,1
https://api.propublica.org/congress/v1/members/C000705.json,105,,M,C000705,Kent Conrad,D,11
https://api.propublica.org/congress/v1/members/C000813.json,105,,M,C000813,Paul Coverdell,R,5
https://api.propublica.org/congress/v1/members/C000858.json,105,,M,C000858,Larry Craig,R,7
https://api.propublica.org/congress/v1/members/D000018.json,105,,M,D000018,Alfonse D'Amato,R,17
https://api.propublica.org/congress/v1/members/D000064.json,105,,M,D000064,Thomas Daschle,D,11
https://api.propublica.org/congress/v1/members/D000294.json,105,,M,D000294,Michael DeWine,R,3
https://api.propublica.org/congress/v1/members/D000388.json,105,,M,D000388,Christopher Dodd,D,17
https://api.propublica.org/congress/v1/members/D000407.json,105,,M,D000407,Pete Domenici,R,25
https://api.propublica.org/congress/v1/members/D000432.json,105,,M,D000432,Byron Dorgan,D,5
https://api.propublica.org/congress/v1/members/D000563.json,105,,M,D000563,Richard Durbin,D,1
https://api.propublica.org/congress/v1/members/E000285.json,105,,M,E000285,Michael Enzi,R,1
https://api.propublica.org/congress/v1/members/F000437.json,105,,M,F000437,Lauch Faircloth,R,5
https://api.propublica.org/congress/v1/members/F000061.json,105,,M,F000061,Russ Feingold,D,5
https://api.propublica.org/congress/v1/members/F000062.json,105,,F,F000062,Dianne Feinstein,D,5
https://api.propublica.org/congress/v1/members/F000268.json,105,,M,F000268,Wendell Ford,D,23
https://api.propublica.org/congress/v1/members/F000439.json,105,,M,F000439,William Frist,R,3
https://api.propublica.org/congress/v1/members/G000236.json,105,,M,G000236,John Glenn,D,23
https://api.propublica.org/congress/v1/members/G000333.json,105,,M,G000333,Slade Gorton,R,15
https://api.propublica.org/congress/v1/members/G000352.json,105,,M,G000352,Bob Graham,D,11
https://api.propublica.org/congress/v1/members/G000365.json,105,,M,G000365,Phil Gramm,R,13
https://api.propublica.org/congress/v1/members/G000367.json,105,,M,G000367,Rod Grams,R,3
https://api.propublica.org/congress/v1/members/G000386.json,105,,M,G000386,Charles Grassley,R,17
https://api.propublica.org/congress/v1/members/G000445.json,105,,M,G000445,Judd Gregg,R,5
https://api.propublica.org/congress/v1/members/H001028.json,105,,M,H001028,Chuck Hagel,R,1
https://api.propublica.org/congress/v1/members/H000206.json,105,,M,H000206,Tom Harkin,D,13
https://api.propublica.org/congress/v1/members/H000338.json,105,,M,H000338,Orrin Hatch,R,21
https://api.propublica.org/congress/v1/members/H000463.json,105,,M,H000463,Jesse Helms,R,25
https://api.propublica.org/congress/v1/members/H000725.json,105,,M,H000725,Ernest Hollings,D,31
https://api.propublica.org/congress/v1/members/H001015.json,105,,M,H001015,Tim Hutchinson,R,1
